iri	label	ontology	parents
http://purl.obolibrary.org/obo/MONDO_0018203	LMNA-related cardiocutaneous progeria syndrome	mondo	['MONDO:0003847', 'MONDO:0005267', 'MONDO:0019303']
http://purl.obolibrary.org/obo/MONDO_0008716	acrogeria	mondo	['MONDO:0003847', 'MONDO:0019303', 'MONDO:0005093']
http://purl.obolibrary.org/obo/MONDO_0100137	telomere syndrome	mondo	['MONDO:0019303']
http://purl.obolibrary.org/obo/MONDO_0018835	nodular regenerative hyperplasia of the liver	mondo	['MONDO:0005154', 'MONDO:0100137']
http://purl.obolibrary.org/obo/MONDO_0800029	interstitial lung disease 2	mondo	['MONDO:0002429', 'MONDO:0031199', 'MONDO:0100137', 'MONDO:0002771']
http://purl.obolibrary.org/obo/MONDO_0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	mondo	['MONDO:0100137', 'MONDO:0006025']
http://purl.obolibrary.org/obo/MONDO_0014828	immunodeficiency-centromeric instability-facial anomalies syndrome 3	mondo	['MONDO:0000133']
http://purl.obolibrary.org/obo/MONDO_0014829	immunodeficiency-centromeric instability-facial anomalies syndrome 4	mondo	['MONDO:0000133']
http://purl.obolibrary.org/obo/MONDO_0009454	immunodeficiency-centromeric instability-facial anomalies syndrome 1	mondo	['MONDO:0000133']
http://purl.obolibrary.org/obo/MONDO_0013553	immunodeficiency-centromeric instability-facial anomalies syndrome 2	mondo	['MONDO:0000133']
http://purl.obolibrary.org/obo/MONDO_0000148	pulmonary fibrosis and/or bone marrow failure, telomere-related	mondo	['MONDO:0003847', 'MONDO:0100137', 'MONDO:0002771', 'MONDO:0003225']
http://purl.obolibrary.org/obo/MONDO_0014613	pulmonary fibrosis and/or bone marrow failure, Telomere-related, 3	mondo	['MONDO:0000148']
http://purl.obolibrary.org/obo/MONDO_0014612	pulmonary fibrosis and/or bone marrow failure, Telomere-related, 4	mondo	['MONDO:0000148']
http://purl.obolibrary.org/obo/MONDO_0032865	pulmonary fibrosis and/or bone marrow failure, telomere-related, 5	mondo	['MONDO:0000148']
http://purl.obolibrary.org/obo/MONDO_0030690	pulmonary fibrosis and/or bone marrow failure, telomere-related, 6	mondo	['MONDO:0000148']
http://purl.obolibrary.org/obo/MONDO_0013878	pulmonary fibrosis and/or bone marrow failure, Telomere-related, 1	mondo	['MONDO:0000148']
http://purl.obolibrary.org/obo/MONDO_0013879	pulmonary fibrosis and/or bone marrow failure, Telomere-related, 2	mondo	['MONDO:0000148']
http://purl.obolibrary.org/obo/MONDO_0012815	Coats plus syndrome	mondo	['MONDO:0100137', 'MONDO:0020247']
http://purl.obolibrary.org/obo/MONDO_0024564	cerebroretinal microangiopathy with calcifications and cysts 1	mondo	['MONDO:0012815']
http://purl.obolibrary.org/obo/MONDO_0015026	cerebroretinal microangiopathy with calcifications and cysts 2	mondo	['MONDO:0012815']
http://purl.obolibrary.org/obo/MONDO_0010002	Rothmund-Thomson syndrome	mondo	['MONDO:0100137', 'MONDO:0016382', 'MONDO:0015333', 'MONDO:0015356', 'MONDO:0015951', 'MONDO:0005328']
http://purl.obolibrary.org/obo/MONDO_0016368	Rothmund-Thomson syndrome type 1	mondo	['MONDO:0010002']
http://purl.obolibrary.org/obo/MONDO_0016369	Rothmund-Thomson syndrome type 2	mondo	['MONDO:0010002']
http://purl.obolibrary.org/obo/MONDO_0019391	Fanconi anemia	mondo	['MONDO:0019289', 'MONDO:0005240', 'MONDO:0100137', 'MONDO:0015161', 'MONDO:0001713', 'MONDO:0018454', 'MONDO:0015327', 'MONDO:0021190', 'MONDO:0003225', 'MONDO:0000577', 'MONDO:0019054', 'MONDO:0019052']
http://purl.obolibrary.org/obo/MONDO_0014108	Fanconi anemia complementation group Q	mondo	['MONDO:0019391']
http://purl.obolibrary.org/obo/MONDO_0014985	Fanconi anemia complementation group V	mondo	['MONDO:0019391']
http://purl.obolibrary.org/obo/MONDO_0014987	Fanconi anemia complementation group U	mondo	['MONDO:0019391']
http://purl.obolibrary.org/obo/MONDO_0014986	Fanconi anemia complementation group R	mondo	['MONDO:0019391']
http://purl.obolibrary.org/obo/MONDO_0012186	Fanconi anemia complementation group I	mondo	['MONDO:0019391']
http://purl.obolibrary.org/obo/MONDO_0012187	Fanconi anemia complementation group J	mondo	['MONDO:0019391']
http://purl.obolibrary.org/obo/MONDO_0014638	Fanconi anemia complementation group T	mondo	['MONDO:0019391']
http://purl.obolibrary.org/obo/MONDO_0010351	Fanconi anemia complementation group B	mondo	['MONDO:0019391']
http://purl.obolibrary.org/obo/MONDO_0009215	Fanconi anemia complementation group A	mondo	['MONDO:0019391', 'MONDO:0019713']
http://purl.obolibrary.org/obo/MONDO_0009214	Fanconi anemia complementation group D2	mondo	['MONDO:0019391']
http://purl.obolibrary.org/obo/MONDO_0009213	Fanconi anemia complementation group C	mondo	['MONDO:0019391']
http://purl.obolibrary.org/obo/MONDO_0012565	Fanconi anemia complementation group N	mondo	['MONDO:0019391']
http://purl.obolibrary.org/obo/MONDO_0010953	Fanconi anemia complementation group E	mondo	['MONDO:0019391']
